@relation bank-weka.filters.supervised.instance.Resample-B0.0-S1-Z30.0-no-replacement-V-weka.filters.supervised.instance.SMOTE-C0-K3-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K3-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K3-P93.0-S1-weka.filters.unsupervised.instance.Randomize-S42

@attribute age numeric
@attribute job {unemployed,services,management,blue-collar,self-employed,technician,entrepreneur,admin.,student,housemaid,retired,unknown}
@attribute marital {married,single,divorced}
@attribute education {primary,secondary,tertiary,unknown}
@attribute default {no,yes}
@attribute balance numeric
@attribute housing {no,yes}
@attribute loan {no,yes}
@attribute contact {cellular,unknown,telephone}
@attribute day numeric
@attribute month {oct,may,apr,jun,feb,aug,jan,jul,nov,sep,mar,dec}
@attribute duration numeric
@attribute campaign numeric
@attribute pdays numeric
@attribute previous numeric
@attribute y {no,yes}

@data
62.559162,management,single,tertiary,no,9791.752207,no,no,cellular,10.35173,jun,319.44643,1.158944,33.154159,0.725522,yes
32,blue-collar,single,secondary,no,2285,yes,no,unknown,14,may,413,2,-1,0,no
30,management,single,tertiary,no,726,yes,no,cellular,16,apr,39,1,342,3,no
34.958251,unemployed,married,secondary,no,604.164908,yes,no,cellular,25.446218,may,1257.991234,3.680891,-1,0,yes
40.801798,blue-collar,married,secondary,no,1866.166948,no,no,cellular,11.995881,oct,750.211419,2,-1,0,yes
28.429374,management,married,tertiary,no,8.882448,no,no,cellular,12.740352,may,390.847533,3.723627,-1,0,yes
54.04426,services,single,primary,no,1633.170993,no,no,unknown,11.27471,jun,1028.894142,2.418611,-1,0,yes
61,blue-collar,married,primary,no,625,yes,no,unknown,19,may,158,2,-1,0,no
42,blue-collar,married,primary,no,704,yes,yes,telephone,31,jul,88,10,-1,0,no
31,technician,single,secondary,no,1094,yes,no,unknown,12,jun,93,8,-1,0,no
51,self-employed,married,tertiary,no,833,no,no,cellular,31,jul,77,3,-1,0,no
52,blue-collar,married,primary,no,2,no,no,unknown,9,jun,70,3,-1,0,no
46,housemaid,married,primary,no,19,yes,no,telephone,21,jul,171,1,-1,0,no
26,management,single,tertiary,no,1177,no,no,cellular,19,oct,116,1,-1,0,no
35,unknown,married,primary,no,365,no,no,cellular,29,aug,41,2,-1,0,no
49,blue-collar,divorced,primary,no,15,yes,no,unknown,27,may,550,7,-1,0,no
83,retired,divorced,primary,no,1097,no,no,telephone,5,mar,181,1,-1,0,yes
38,blue-collar,single,tertiary,no,14058,no,no,telephone,17,jul,293,20,-1,0,no
54,management,divorced,tertiary,no,26306,yes,no,cellular,11,feb,27,1,84,3,no
38.087236,management,married,secondary,no,482.149339,no,no,cellular,18.136608,oct,203.094936,1.305588,-1,0,yes
47.126811,management,married,secondary,no,2590.941234,no,no,cellular,6.793915,feb,315.067644,2.196772,70.766883,1.954881,yes
50.210043,admin.,married,secondary,no,31.393773,no,no,cellular,16.12253,oct,229.209175,2.138134,-1,0,yes
50,self-employed,married,unknown,no,-84,yes,no,unknown,6,may,101,1,-1,0,no
59.492136,retired,married,primary,no,212.094914,no,no,cellular,20.517585,oct,78.944986,2.098238,-1,0,yes
64.353691,blue-collar,married,secondary,no,-41.648838,yes,no,cellular,16.682064,may,679.659469,1.450915,217.787903,1,yes
31.713419,management,married,tertiary,no,1403.521117,no,no,cellular,25.4558,apr,297.448965,1.815709,73.751931,1.899598,yes
33,management,divorced,tertiary,no,0,yes,yes,cellular,19,aug,275,8,-1,0,no
33,blue-collar,divorced,secondary,no,-131,yes,no,unknown,16,may,145,1,-1,0,no
49,technician,married,tertiary,no,1235,no,no,cellular,13,aug,354,3,-1,0,yes
71,technician,married,tertiary,no,383,no,no,cellular,27,oct,327,2,183,3,no
49,technician,married,secondary,no,1091,no,no,telephone,30,jul,47,2,-1,0,no
31,services,married,secondary,no,1062,yes,yes,cellular,6,apr,230,1,-1,0,no
60.380495,technician,married,secondary,no,1006.751831,no,no,cellular,10.45741,mar,110.838294,1.031261,0.967239,0.179077,yes
38,services,married,secondary,no,-762,yes,yes,unknown,30,may,408,2,-1,0,no
41,blue-collar,married,primary,no,2067,yes,no,cellular,15,may,493,7,-1,0,no
73,retired,married,primary,no,1388,no,no,cellular,20,jul,146,3,190,3,no
28,student,single,secondary,no,28,no,no,cellular,29,jan,220,2,-1,0,no
37,technician,single,secondary,no,228,yes,no,cellular,20,aug,1740,2,-1,0,no
37.675849,management,married,secondary,no,1524.311749,no,no,cellular,7.748311,oct,232.403361,1,89.85628,0.899845,yes
27.957158,unemployed,single,primary,no,447.371238,no,no,cellular,15.008645,jul,688.089894,1,-1,0,yes
41,technician,divorced,secondary,no,0,yes,no,cellular,17,nov,386,2,-1,0,no
37,blue-collar,married,secondary,no,67,no,no,unknown,3,jun,45,2,-1,0,no
54.898167,management,divorced,primary,no,-358.980389,no,no,cellular,29.72232,may,836.282017,1.57515,-1,0,yes
40.620196,blue-collar,married,primary,no,4073.70023,no,no,cellular,6.634296,oct,530.816074,1.594225,11.267825,1.153014,yes
48.028838,technician,married,secondary,no,4.17556,no,no,cellular,11.236227,oct,192.932443,1.272128,114.765161,2.932219,yes
61.001956,services,married,secondary,no,394.238167,no,no,cellular,11.183209,apr,238.277866,1,90.329891,3.848759,yes
30,technician,married,secondary,no,371,no,no,cellular,7,aug,124,2,-1,0,no
40,admin.,married,secondary,no,0,yes,yes,cellular,17,nov,57,1,-1,0,no
48,blue-collar,married,secondary,no,1143,yes,no,cellular,17,apr,264,1,317,1,no
33.567684,services,married,primary,no,433.956238,yes,no,cellular,13.801698,may,627.603179,2.012588,294.564534,1.075858,yes
49.701487,management,married,tertiary,no,5516.720343,no,no,cellular,26.913222,feb,815.100556,1.734754,-1,0,yes
41.382506,management,married,secondary,no,1572.804699,no,no,cellular,8.597807,oct,260.276912,1,166.817747,5.850126,yes
45,blue-collar,divorced,secondary,no,1269,yes,no,cellular,29,jan,549,2,-1,0,no
48,admin.,divorced,secondary,no,4099,no,no,cellular,2,apr,397,2,-1,0,yes
39,blue-collar,married,primary,no,7685,yes,no,cellular,14,apr,493,3,-1,0,no
33.078912,blue-collar,married,secondary,no,240.835281,no,no,cellular,8.256546,oct,407.985743,1.244825,3.346436,0.011882,yes
35,management,married,tertiary,no,3161,no,no,cellular,8,aug,433,2,-1,0,no
50,blue-collar,divorced,primary,no,-10,no,yes,cellular,10,jul,369,6,-1,0,no
51,management,single,tertiary,yes,-55,yes,no,cellular,11,may,281,2,266,6,no
49,services,married,secondary,no,2201,yes,no,unknown,15,may,233,3,-1,0,no
30.610303,services,married,tertiary,no,0,no,no,cellular,21.990742,oct,269.423939,2,142.736415,3.831704,yes
30.830649,management,married,secondary,no,1739.009009,no,no,cellular,5,jun,166.606526,1.788863,-1,0,yes
59.037727,management,married,primary,no,4190.071185,no,no,cellular,14.063561,oct,314.135519,1.516398,61.717156,8.40489,yes
31.286513,management,married,secondary,no,2710.341695,no,no,cellular,9.50891,jun,318.201929,2.02097,-1,0,yes
42.25903,unemployed,married,secondary,no,1985.342535,no,no,cellular,17.603741,may,294.888299,1.06051,103.886191,1.570729,yes
50.121949,services,married,secondary,no,476.276954,no,no,cellular,27.329024,apr,479.719893,1.935378,-0.728632,0.489971,yes
40.446584,management,single,tertiary,no,5078.263925,no,no,cellular,26.579276,oct,353.971987,3.039954,-1,0,yes
49,management,married,primary,no,3371,no,no,cellular,11,nov,269,2,-1,0,yes
32,management,single,tertiary,no,347,yes,no,cellular,18,may,213,1,264,6,no
60,blue-collar,married,secondary,no,1801,no,no,telephone,29,oct,167,1,-1,0,no
36.234538,management,married,tertiary,no,1328.500874,no,no,cellular,29.574661,apr,291.050286,1.134938,42.259235,1.420046,yes
44.529579,retired,married,secondary,no,2888.683854,no,no,cellular,6,oct,220.003979,1.787162,-1,0,yes
35.99957,technician,married,secondary,no,11.359868,no,no,cellular,22.552315,aug,839.333705,3.650889,-1,0,yes
40,management,married,tertiary,no,8969,yes,no,cellular,17,nov,153,1,-1,0,no
33.637317,technician,single,secondary,no,2331.332105,no,no,cellular,13.126293,feb,98.500677,2.205861,-1,0,yes
60.812648,services,married,secondary,no,390.166597,no,no,cellular,13.21982,apr,240.030029,1,90.040951,3.871194,yes
53.627456,management,married,secondary,no,-1126.574915,yes,no,cellular,8.300792,jun,436.569514,1.141336,-1,0,yes
31,management,married,tertiary,no,1183,yes,no,unknown,27,may,676,6,-1,0,no
34,self-employed,married,secondary,no,-370,yes,no,unknown,21,may,748,1,-1,0,no
32,management,single,tertiary,no,8436,yes,no,cellular,17,apr,245,1,149,2,no
30,management,married,tertiary,no,1882,yes,no,cellular,11,aug,249,5,-1,0,no
57,technician,divorced,secondary,no,63,yes,no,unknown,5,may,242,1,-1,0,no
31,blue-collar,single,tertiary,no,2197,yes,no,unknown,23,may,146,3,-1,0,no
40,services,married,secondary,no,0,no,no,unknown,12,jun,543,2,-1,0,no
36,management,married,tertiary,no,9,no,no,cellular,11,aug,386,4,-1,0,yes
41.47842,management,divorced,secondary,no,1659.563377,no,no,cellular,8.277564,oct,283.985674,1,207.959304,7.316416,yes
54,retired,married,primary,no,0,yes,no,cellular,11,jul,159,2,-1,0,no
52,technician,married,secondary,no,1781,yes,no,unknown,19,may,144,2,-1,0,no
47,blue-collar,married,primary,no,3451,no,yes,cellular,21,nov,125,2,-1,0,no
48,management,married,tertiary,no,0,no,no,cellular,26,aug,60,5,-1,0,no
40,technician,married,secondary,no,1259,no,no,unknown,20,may,234,5,-1,0,no
28.242369,blue-collar,married,secondary,no,2897.195675,no,no,cellular,10.392506,oct,451.762302,2,-1,0,yes
55.984481,retired,married,tertiary,no,9289.415379,no,no,cellular,19.752263,jun,600.869371,3.630137,-1,0,yes
56,self-employed,married,secondary,no,800,no,yes,cellular,9,jul,170,1,-1,0,no
29,blue-collar,married,secondary,no,358,no,no,cellular,21,jul,88,5,-1,0,no
56,technician,married,secondary,no,4073,no,no,cellular,27,aug,239,5,-1,0,no
45.114224,retired,married,secondary,no,1051.447767,no,no,cellular,10.240017,may,570.489995,1,-0.671798,0.973552,yes
31,management,single,tertiary,no,12569,no,no,cellular,9,sep,344,1,295,1,yes
57,blue-collar,married,secondary,no,2887,no,no,cellular,21,aug,819,10,-1,0,yes
56,retired,married,secondary,no,-1206,yes,no,cellular,15,jun,382,2,-1,0,yes
43,technician,married,secondary,no,17,yes,no,unknown,16,may,353,4,-1,0,no
37.549003,services,married,primary,no,245.159112,yes,no,cellular,17.0314,may,955.049953,2.030314,-1,0,yes
66.642718,services,married,secondary,no,431.49804,no,no,cellular,18.966334,aug,223.526047,2.379842,94.985883,1,yes
33,management,married,tertiary,no,148,no,no,unknown,20,may,717,1,-1,0,no
47,services,divorced,secondary,no,691,no,no,cellular,6,feb,285,6,-1,0,no
32,admin.,single,secondary,no,1649,no,no,cellular,27,may,204,2,-1,0,no
32,services,married,primary,no,228,yes,no,cellular,21,jul,1017,6,-1,0,yes
28,admin.,single,secondary,no,1323,yes,no,unknown,3,jun,361,1,-1,0,no
47.587716,unemployed,married,secondary,no,2823.632851,no,no,cellular,29.58069,aug,823.556853,2.231353,-1,0,yes
44.030869,management,married,secondary,no,985.271401,no,no,cellular,25.126268,jun,340.63013,1.000099,90.609777,2.45775,yes
32.496985,services,single,secondary,no,134.003162,no,no,cellular,15,may,171.110055,1,-1,0,yes
28,technician,single,tertiary,no,102,no,no,cellular,28,jan,321,2,-1,0,no
58,unemployed,married,tertiary,no,1798,yes,no,cellular,5,feb,19,8,-1,0,no
57.956095,technician,single,secondary,no,1020.504645,no,no,cellular,7.644431,may,680.106541,1,-1,0,yes
36,blue-collar,divorced,secondary,no,2843,no,no,cellular,12,feb,473,1,182,1,no
33,technician,married,secondary,no,0,yes,yes,cellular,19,nov,163,2,-1,0,no
41.947195,management,single,tertiary,no,4950.788442,no,no,cellular,14.659339,oct,272.503564,6.941601,90.794045,4.420165,yes
35,management,single,secondary,no,81,yes,no,cellular,29,jan,79,1,-1,0,no
34,blue-collar,married,secondary,no,67,yes,yes,unknown,8,may,672,3,-1,0,no
44.822889,services,married,secondary,no,823.010939,no,no,cellular,8.016013,apr,779.61342,2.725669,-1,0,yes
58.595572,unemployed,married,secondary,no,1979.048466,no,no,cellular,17.8473,feb,278.091959,1.035919,102.651437,3.266704,yes
31.017822,unemployed,married,secondary,no,649.777818,yes,no,cellular,20.07896,may,1334.439975,1.999927,129.075028,1.626578,yes
39.751312,self-employed,divorced,tertiary,no,1343.621086,no,no,cellular,20.815794,aug,731.788207,2.220029,-1,0,yes
54.776986,management,married,secondary,no,-464.028729,yes,no,cellular,26.997259,may,800.649478,2,71.00905,0.8536,yes
37.810719,management,married,tertiary,no,274.353404,no,no,cellular,22.764836,may,769.600854,2.882894,-1,0,yes
47,blue-collar,married,secondary,no,1230,yes,no,cellular,30,apr,412,1,169,1,yes
40,self-employed,single,tertiary,no,2893,no,no,cellular,2,jun,76,3,-1,0,no
35.05429,unemployed,married,secondary,no,683.641611,yes,no,cellular,20.968048,may,1262.668174,2,121.601031,1.722788,yes
38.820502,unemployed,married,primary,no,1218.18947,no,no,cellular,15,apr,303.453565,1.320184,329.219123,3.425719,yes
33.576933,management,married,tertiary,no,312.188988,no,no,cellular,11.99747,may,769.093376,2.005987,-1,0,yes
23,technician,single,secondary,no,-306,yes,no,unknown,4,jun,217,2,-1,0,no
31.71093,unemployed,married,primary,no,3296.010759,no,no,cellular,4.513475,apr,247.909319,1.586982,37.348878,0.294586,yes
37.879443,management,single,secondary,no,2.314798,no,no,cellular,22.796605,may,998.508963,1.429143,-1,0,yes
53,entrepreneur,married,unknown,no,7,no,no,cellular,20,nov,68,1,-1,0,no
39,management,single,tertiary,no,3797,no,no,cellular,2,jun,96,2,-1,0,no
53,entrepreneur,married,tertiary,no,624,no,yes,cellular,21,jul,180,4,-1,0,no
42.085068,technician,married,secondary,no,6614.210991,no,no,cellular,24.554589,may,462.882376,1.48054,87.400781,1.068088,yes
32.25665,blue-collar,single,secondary,no,240.520532,no,no,cellular,13.211006,mar,410.44518,1.151504,-1,0,yes
55,blue-collar,married,primary,no,1086,yes,no,cellular,6,may,146,1,272,2,no
29,entrepreneur,single,secondary,no,404,no,no,cellular,30,jan,413,3,-1,0,no
37.286146,management,married,secondary,no,623.579983,yes,no,cellular,12.115484,sep,395.576946,2,376.783291,2.083493,yes
45.304005,management,married,secondary,no,2062.368298,no,no,cellular,24.508815,oct,307.937832,1,674.472663,1,yes
44,management,married,tertiary,no,332,yes,no,cellular,23,jul,497,5,-1,0,no
46.076527,blue-collar,married,secondary,no,1995.532313,no,no,cellular,13.328678,may,750.149878,2,-1,0,yes
44,technician,married,secondary,no,5597,no,no,unknown,20,jun,27,3,-1,0,no
33.915803,services,married,secondary,no,2382.148315,yes,no,cellular,10.455079,oct,147.960874,1,207.578211,1.294009,yes
47,technician,married,secondary,no,1219,no,no,cellular,18,aug,697,4,-1,0,yes
34.561481,blue-collar,married,primary,no,661.87883,no,no,cellular,17.35864,jul,969.805707,4.097904,-1,0,yes
59,retired,divorced,secondary,no,5845,no,no,cellular,14,may,1060,2,-1,0,yes
56,services,divorced,secondary,no,1007,no,no,cellular,29,jul,88,6,-1,0,no
35.783194,blue-collar,married,secondary,no,4441.15962,no,no,cellular,17.848713,may,439.788906,1.024848,-1,0,yes
28,management,single,tertiary,no,882,no,yes,cellular,29,jan,94,1,205,2,no
39,blue-collar,married,primary,no,800,yes,no,cellular,19,nov,76,6,-1,0,no
31.813825,blue-collar,single,secondary,no,-1.264499,no,no,cellular,18.809461,may,585.784213,3.997001,-1,0,yes
58,blue-collar,married,secondary,no,590,no,yes,unknown,5,jun,133,1,-1,0,no
29.933236,management,married,tertiary,no,1415.428151,no,no,cellular,24.564352,apr,299.45596,1.713337,122.846758,2.488416,yes
45.975799,management,married,tertiary,no,4181.262063,no,no,cellular,7.003858,oct,296.679105,1.869865,140.661526,5.259303,yes
36.947614,technician,single,secondary,no,-30.716118,yes,no,cellular,16.477107,may,1103.323959,2.403179,269.388159,0.646994,yes
60,management,married,unknown,no,6313,no,no,unknown,19,jun,39,2,-1,0,no
75,retired,married,secondary,no,3809.260343,no,no,cellular,15.827547,apr,243.692769,1,182.624085,1.008333,yes
41,management,married,tertiary,no,771,yes,no,cellular,26,aug,106,8,-1,0,no
37,entrepreneur,divorced,tertiary,no,66,no,no,cellular,18,nov,1164,2,-1,0,yes
47,self-employed,married,tertiary,no,4543,yes,no,unknown,14,may,162,1,-1,0,no
78.188888,retired,married,tertiary,no,8717.874024,no,no,cellular,21.034728,jun,243.733779,2,26.004334,0.362247,yes
53.873882,retired,married,tertiary,no,662.522715,yes,no,cellular,21.958042,may,370.553429,2.080915,-1,0,yes
79.454087,technician,married,secondary,no,1158.470426,no,no,cellular,6.650909,may,191.649701,3.487124,-1,0,yes
33.441461,services,married,primary,no,237.602398,yes,no,cellular,14.525802,may,965.741723,5.184676,-1,0,yes
40,admin.,single,secondary,no,100,yes,no,cellular,11,aug,221,1,461,1,yes
51.172042,unemployed,married,primary,no,3373.658793,no,no,cellular,10.435306,apr,239.22476,2.076858,-1,0,yes
29.561057,unemployed,married,primary,no,1051.576489,yes,no,cellular,16.325385,aug,31.992921,1,370.70077,1,yes
36,management,married,tertiary,no,925,no,no,cellular,14,dec,321,3,189,4,yes
56,management,divorced,tertiary,no,-59,no,yes,cellular,28,jul,127,6,-1,0,no
40.851896,technician,married,secondary,no,6614.49541,no,no,cellular,24.665144,may,428.78202,1.320166,89.229562,1.166894,yes
40.741954,technician,married,secondary,no,730.674847,no,no,cellular,16.117205,oct,368.582224,1.912789,531.196185,2.576149,yes
69,retired,married,primary,no,279,no,no,telephone,12,aug,26,1,-1,0,no
32,management,married,secondary,no,350,yes,no,unknown,28,may,110,2,-1,0,no
32,blue-collar,single,secondary,no,228,no,no,telephone,5,feb,176,1,288,3,no
38,technician,single,tertiary,no,0,no,no,cellular,28,aug,247,2,-1,0,no
53,blue-collar,married,secondary,no,0,no,no,telephone,31,jul,36,4,-1,0,no
53,admin.,married,secondary,no,263,no,yes,cellular,18,jul,143,7,-1,0,no
44,technician,married,tertiary,no,1146,no,no,cellular,4,jul,178,2,-1,0,no
51.924308,technician,married,secondary,no,196.76381,no,no,cellular,17.913318,jun,221.56927,1.202267,58.931287,3.102801,yes
29.001375,blue-collar,married,secondary,no,458.389075,no,no,cellular,20.542948,apr,391.15316,1.0049,-1,0,yes
37,entrepreneur,married,tertiary,no,7944,no,no,cellular,21,nov,102,1,-1,0,no
34,management,married,tertiary,no,436,no,yes,cellular,28,jul,118,4,-1,0,no
49.189676,admin.,single,tertiary,no,2301.872655,no,no,cellular,15.658602,feb,239.142258,3.688147,-1,0,yes
40,services,married,secondary,no,1836,yes,no,cellular,12,may,750,2,-1,0,yes
37,technician,divorced,secondary,no,2610,yes,no,cellular,13,may,53,1,-1,0,no
28.739193,technician,married,secondary,no,60.826959,no,no,cellular,20.696897,may,836.367182,3.333779,-1,0,yes
37,technician,single,secondary,no,0,no,no,cellular,4,aug,69,2,-1,0,no
42.011564,services,married,tertiary,no,4204.752734,no,no,cellular,7.087921,aug,266.289101,2.689577,260.359995,2.818235,yes
39,self-employed,married,secondary,no,266,no,no,cellular,11,may,102,2,-1,0,no
42.688751,retired,married,secondary,no,1052.12286,no,no,cellular,10.827819,may,591.713219,1,-0.83674,0.345362,yes
58,retired,married,primary,no,4007,no,no,cellular,30,nov,598,4,-1,0,no
39.401947,unemployed,married,secondary,no,900.875558,no,no,cellular,10.009736,feb,690.699813,1.942057,180.328093,4.558458,yes
56.14233,technician,married,secondary,no,1002.713578,no,no,cellular,10.471548,mar,118.556557,1.007297,5.811046,1.152916,yes
37.912807,admin.,married,secondary,no,3635.488459,no,no,cellular,17.295231,nov,805.469924,2.520931,-1,0,yes
35.416899,management,married,secondary,no,879.232687,yes,no,cellular,10.009932,feb,768.895994,1.065019,183.33849,4.463293,yes
27,technician,single,unknown,no,59,no,no,cellular,15,jul,792,4,-1,0,no
45,technician,married,secondary,no,49,no,no,cellular,29,jul,65,2,-1,0,no
52,services,married,secondary,no,381,no,yes,cellular,25,aug,288,12,-1,0,no
60.509065,management,married,tertiary,no,11874.83988,no,no,cellular,14.997636,sep,387.720552,1,59.152424,0.02329,yes
36.990082,blue-collar,married,secondary,no,4447.895657,no,no,cellular,16.256252,may,398.321867,1.524954,-1,0,yes
38,technician,single,secondary,no,0,yes,no,cellular,7,apr,196,2,-1,0,no
41,blue-collar,married,secondary,no,343,yes,no,unknown,14,may,89,7,-1,0,no
42.668523,services,married,secondary,no,3.563004,no,no,cellular,27.16797,oct,268,1.123394,251.797183,3.656393,yes
51,retired,married,secondary,no,35,no,yes,cellular,8,jul,123,4,-1,0,no
55.611879,services,single,secondary,no,347.707161,no,no,cellular,25.541421,may,1047.408997,3.186696,-1,0,yes
43,management,divorced,tertiary,no,99,no,no,cellular,29,jan,24,3,-1,0,no
38,blue-collar,married,secondary,no,-388,yes,no,unknown,9,may,412,1,-1,0,no
37.17622,blue-collar,married,secondary,no,577.86931,no,no,cellular,14.219269,may,646.858813,1.698372,-1,0,yes
40.440766,blue-collar,married,secondary,no,1908.906932,no,no,cellular,13.753701,oct,718.921836,2,-1,0,yes
46.032713,admin.,married,secondary,no,31.404597,no,no,cellular,14.083337,oct,228.963804,2,-1,0,yes
36,services,married,secondary,no,338,no,no,unknown,14,may,90,1,-1,0,no
45.679269,management,single,secondary,no,102.571107,no,no,cellular,18.87652,jul,1283.296485,2.420969,-1,0,yes
35,technician,married,secondary,no,2789,yes,no,cellular,4,sep,256,2,94,1,no
59,retired,married,secondary,no,0,no,no,cellular,18,jul,247,4,-1,0,no
46.219779,management,married,secondary,no,1781.508598,no,no,cellular,12.82026,oct,288.694893,1.178572,77.032996,1.567244,yes
34,admin.,single,secondary,no,846,yes,no,cellular,17,apr,758,2,-1,0,no
56,admin.,divorced,unknown,no,789,yes,no,cellular,8,may,1022,1,360,2,no
34,management,single,tertiary,no,872,yes,no,unknown,7,may,105,2,-1,0,no
50.124897,blue-collar,single,secondary,no,16.355127,no,no,cellular,18.267148,may,605.124162,1.202375,-1,0,yes
27.267557,management,married,tertiary,no,2549.32885,no,no,cellular,8.006037,may,444.902853,2.337267,28.846832,9.100899,yes
75.832563,management,married,tertiary,no,7794.232085,no,no,cellular,13.022747,may,142.294289,1.1588,4.17749,0.557505,yes
39.562068,management,married,secondary,no,2077.654737,no,no,cellular,8.048405,may,471.594595,1.957856,99.277527,0.293582,yes
41.920269,management,married,secondary,no,1052.048098,no,no,cellular,11,feb,131.692904,2.131757,55.178329,4.748058,yes
71.334499,management,married,tertiary,no,7783.059514,no,no,cellular,13.693471,may,142.250131,1.420363,3.422076,0.481233,yes
53,blue-collar,married,primary,no,225,no,no,cellular,18,jul,171,7,-1,0,no
34.366794,admin.,married,secondary,no,39.987144,no,no,cellular,22.345024,aug,357.778872,1.265679,-1,0,yes
30.054186,admin.,married,secondary,no,895.157901,no,no,cellular,6.268595,oct,348.057573,1,-1,0,yes
47.906632,technician,single,secondary,no,1498.910883,no,no,cellular,19,oct,1014.157955,1,83.08457,0.699375,yes
49,services,married,secondary,no,759.523979,no,no,cellular,14.912303,apr,773.899088,1.03395,-1,0,yes
51,housemaid,divorced,secondary,no,9228,no,no,cellular,18,jul,655,4,-1,0,yes
30.507336,blue-collar,married,secondary,no,595.094597,no,no,cellular,22.030733,jul,973.942662,9.113266,-1,0,yes
32,management,single,tertiary,no,28,no,no,cellular,8,aug,111,2,-1,0,no
68.841577,services,married,secondary,no,421.93759,no,no,cellular,9.018125,apr,232.685499,1,90.295922,3.45799,yes
50,blue-collar,divorced,primary,no,388,no,no,cellular,5,feb,701,1,-1,0,no
60,retired,married,secondary,no,4820,no,no,unknown,5,jun,419,1,-1,0,no
48.166445,technician,married,secondary,no,1064.717933,no,no,cellular,10.939641,feb,108.975442,2.916105,-1,0,yes
27,technician,single,tertiary,no,3083,yes,no,unknown,29,may,244,2,-1,0,no
35,technician,married,secondary,no,94,yes,yes,unknown,14,may,208,5,-1,0,no
43,admin.,married,unknown,no,3485,no,no,unknown,18,jun,113,1,-1,0,no
61,technician,married,secondary,no,1191,no,no,cellular,21,may,214,4,-1,0,yes
26,entrepreneur,married,tertiary,no,37,yes,yes,cellular,6,may,207,1,363,2,no
46.434776,management,married,secondary,no,1797.589743,no,no,cellular,10.992219,oct,230.895462,1.490802,-0.763369,0.310176,yes
43,blue-collar,married,primary,no,1211,yes,no,unknown,6,may,208,3,-1,0,no
34.674983,management,divorced,secondary,no,908.819417,yes,no,cellular,10.225663,may,792.043381,1.073324,225.42001,4.357517,yes
60,unemployed,divorced,secondary,no,385,yes,no,cellular,4,feb,80,1,-1,0,no
52.451826,admin.,married,secondary,no,2209.205135,no,no,cellular,12.086602,feb,107.326311,1,51.817254,0.941071,yes
45.295508,management,married,tertiary,no,1190.02384,no,no,cellular,2.001595,jun,332.338693,1.610833,-1,0,yes
40.737122,management,married,primary,no,384.811753,yes,no,cellular,19.348172,may,636.664589,3.523856,329.331785,3.011102,yes
27.824639,management,married,tertiary,no,7.931953,no,no,cellular,12.688263,may,391.111043,2.314632,-1,0,yes
23,student,married,tertiary,yes,-230,yes,no,cellular,18,may,259,2,-1,0,no
46.458779,management,married,secondary,no,2071.672001,no,no,cellular,27.198619,aug,300.583355,1,597.253727,1,yes
43,management,married,tertiary,no,2886,no,no,cellular,20,nov,230,1,-1,0,no
34,management,married,secondary,no,15,no,no,cellular,25,aug,184,7,-1,0,no
49,technician,single,secondary,no,-97,yes,no,unknown,6,jun,92,2,-1,0,no
36,blue-collar,divorced,secondary,no,-11,no,no,unknown,5,jun,152,2,-1,0,no
28,admin.,married,secondary,no,12,yes,no,cellular,30,jan,73,3,256,3,no
59.366462,management,married,tertiary,no,9703.124921,no,no,cellular,26.874088,jun,261.068772,1.674842,-1,0,yes
41.56781,services,married,secondary,no,135.037772,yes,no,cellular,10.555106,may,565.252568,1,27.545476,2.473983,yes
59,admin.,divorced,secondary,no,975,yes,no,unknown,15,may,263,4,-1,0,no
58.085182,technician,married,secondary,no,1007.443025,no,no,cellular,10.445447,mar,109.588259,1.006298,-0.142901,0.549324,yes
34,blue-collar,married,secondary,no,518,yes,no,cellular,11,may,206,1,-1,0,no
45.826108,retired,married,secondary,no,1053.485239,no,no,cellular,11.716702,may,569.949733,1,-0.61908,1.165997,yes
44,management,married,secondary,no,2984,yes,no,unknown,15,may,770,2,-1,0,no
32,self-employed,married,tertiary,no,189,yes,no,unknown,6,jun,106,2,-1,0,no
45,blue-collar,married,primary,no,907,no,no,cellular,18,aug,230,8,-1,0,no
40.81256,management,single,tertiary,no,5074.853161,no,no,cellular,25.995003,oct,333.140671,2.591536,-1,0,yes
29.245521,unemployed,single,secondary,no,1057.999572,no,no,cellular,19.673218,jun,1661.448575,1,-1,0,yes
49.286378,blue-collar,single,primary,no,2182.335066,yes,no,telephone,10.042222,may,1483.597906,7.75071,348.481958,1.688102,yes
43.717061,services,married,tertiary,no,210.386993,no,no,cellular,5.532302,apr,567.670986,1,-1,0,yes
57.401067,retired,married,tertiary,no,695.542567,yes,no,cellular,19.354502,may,373.487299,1.841822,-1,0,yes
66.081494,unemployed,married,secondary,no,2120.944113,no,no,cellular,23.173418,may,439.462464,1.386102,156.979762,2.683637,yes
46.786867,management,single,secondary,no,1485.943043,no,no,cellular,19,oct,1013.731359,1,78.009317,0.704184,yes
69.197135,retired,married,primary,no,219.037195,no,no,cellular,24.968776,oct,98.752187,1,-1,0,yes
49,technician,married,tertiary,no,523,yes,no,cellular,3,mar,152,2,-1,0,yes
70,retired,married,secondary,no,2815,no,no,cellular,26,apr,125,2,182,1,no
